Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
21,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,27-Jan-23
22,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,27-Jun-22
23,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,29-Jul-22
24,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,23-Apr-24
25,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,24-Apr-24
26,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,800,700,20-May-22
27,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1500,1200,04-Jun-24
28,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,04-Sep-23
29,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1400,27-Feb-24
30,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1400,28-Feb-24
31,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2000,1600,20-Dec-23
32,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2800,2500,20-Oct-23
33,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,21-Nov-23
34,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,29-Nov-23
35,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,3000,4000,3500,30-Oct-23
36,Bangalore,Bangalore,Onion,Local,FAQ,80,1400,1100,15-Mar-22
37,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,15-May-23
38,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,11-May-22
39,Bangalore,Bangalore,Onion,Local,FAQ,600,900,850,13-Apr-22
40,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,06-Jun-23
41,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,23-Aug-22
42,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,24-Aug-22
43,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,19-Apr-23
44,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,850,27-Apr-22
45,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,07-Jun-22
46,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,09-Jun-23
47,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,10-Jun-22
48,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,11-Aug-22
49,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,30-May-23
50,Bangalore,Bangalore,Onion,Local,FAQ,800,1400,1100,18-Mar-22
51,Bangalore,Bangalore,Onion,Local,FAQ,800,1400,1100,22-Mar-24
52,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,15-Jun-22
53,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,01-Feb-22
54,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,02-Jan-23
55,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,29-Jun-22
56,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1600,18-Nov-22
57,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1600,19-Nov-22
58,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,24-Apr-24
59,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,04-Feb-22
60,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,10-Mar-22
61,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,11-Jan-22
62,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1700,02-Dec-22
63,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1750,07-Feb-22
64,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1750,08-Feb-22
65,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,06-Sep-23
66,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,08-Nov-22
67,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,25-Aug-23
68,Bangalore,Bangalore,Onion,Local,FAQ,2000,3000,2500,11-Dec-23
69,Bangalore,Bangalore,Onion,Local,FAQ,3000,4000,3500,04-Nov-23
70,Bangalore,Bangalore,Onion,Local,FAQ,3000,4000,3800,20-Nov-23
71,Bangalore,Bangalore,Onion,Local,FAQ,4000,4500,4300,25-Oct-23
72,Bangalore,Bangalore,Onion,Onion,FAQ,800,1300,1200,06-Apr-23
73,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1200,02-Feb-23
74,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1200,10-May-22
75,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1500,1400,12-Sep-22
76,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,01-Oct-22
77,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,30-Sep-22
78,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,20-Jun-22
79,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,20-Jun-23
80,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,04-Jan-23
81,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,27-Jul-23
82,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,28-Jul-23
83,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1700,1500,30-Jan-24
84,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1600,12-Jul-23
85,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2000,1700,13-Dec-22
86,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1800,14-Dec-22
87,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1800,16-Dec-22
88,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,19-Oct-22
89,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1700,24-Jul-23
90,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2000,1800,19-Jan-23
91,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2000,1800,05-Jul-23
92,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2000,1800,09-Jan-24
93,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2000,1800,10-Jan-24
94,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,02-May-24
95,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,30-Apr-24
96,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2300,2000,13-Mar-24
97,Bangalore,Bangalore,Onion,Onion,FAQ,1900,2300,1900,21-Dec-22
98,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2400,2200,01-Jan-24
99,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2200,30-May-24
100,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2500,06-Sep-23
101,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2500,16-Sep-23
102,Bangalore,Bangalore,Onion,Onion,FAQ,2000,3000,2500,09-Feb-22
103,Bangalore,Bangalore,Onion,Onion,FAQ,2400,2700,2500,03-Oct-23
104,Bangalore,Bangalore,Onion,Onion,FAQ,2400,3000,2400,20-Feb-24
105,Bangalore,Bangalore,Onion,Onion,FAQ,2400,3000,2400,21-Feb-24
106,Bangalore,Bangalore,Onion,Onion,FAQ,2500,3200,2800,20-Dec-23
107,Bangalore,Bangalore,Onion,Onion,FAQ,2600,3200,2800,31-Oct-22
108,Bangalore,Bangalore,Onion,Onion,FAQ,3200,4000,3500,20-Oct-23
109,Bangalore,Bangalore,Onion,Onion,FAQ,3600,4400,4000,23-Nov-23
110,Bangalore,Bangalore,Onion,Onion,FAQ,4000,5000,4500,03-Nov-23
111,Bangalore,Bangalore,Onion,Onion,FAQ,5000,5500,5000,02-Nov-23
112,Bangalore,Bangalore,Onion,Puna,FAQ,700,1100,900,23-May-23
113,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,01-Apr-23
114,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1100,16-Apr-22
115,Bangalore,Bangalore,Onion,Puna,FAQ,800,1400,1300,08-Apr-22
116,Bangalore,Bangalore,Onion,Puna,FAQ,800,1500,1200,06-Jun-23
117,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,11-Apr-23
118,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,18-Apr-23
119,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1300,31-Mar-22
120,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,10-Aug-22
121,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,04-Apr-22
122,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,06-Apr-22
123,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,03-Sep-22
124,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,09-Mar-22
125,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,21-Jun-23
126,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,31-Jul-23
127,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,19-Jul-22
128,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,25-Jan-24
129,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1700,23-Jan-24
130,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,15-Apr-24
131,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,17-Apr-24
132,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1700,14-Jun-22
133,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2300,2000,28-Dec-22
134,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2400,1700,28-Jan-22
135,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2400,1800,03-Feb-24
136,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2500,1750,02-Feb-22
137,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,29-Nov-22
138,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,27-Jul-22
139,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1850,03-Mar-22
140,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2600,2050,05-Feb-22
141,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2200,03-Jun-24
142,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2400,16-Nov-22
143,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2500,18-Oct-23
144,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2500,2200,08-May-24
145,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2900,2700,15-Sep-23
146,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3500,2750,07-Jan-22
147,Bangalore,Bangalore,Onion,Puna,FAQ,2500,4000,3400,11-Jun-24
148,Bangalore,Bangalore,Onion,Puna,FAQ,3000,5000,4400,15-Nov-23
149,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,600,500,22-Jul-22
150,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,29-Oct-22
151,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,19-May-23
152,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,29-Apr-23
153,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,400,16-May-22
154,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,450,30-Mar-22
155,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,450,31-Mar-22
156,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,600,10-Apr-23
157,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,600,15-Apr-23
158,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,1000,800,12-Mar-24
159,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,11-May-22
160,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,700,600,26-Apr-22
161,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,01-Sep-22
162,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,08-Jun-22
163,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,29-May-23
164,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,02-Aug-22
165,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,27-Jun-23
166,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,700,600,27-Apr-22
167,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,600,04-Mar-24
168,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,14-Jun-22
169,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,18-Jan-23
170,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,20-Mar-23
171,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,05-Jul-22
172,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,07-Feb-24
173,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,14-Dec-22
174,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,23-Nov-22
175,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,800,28-Mar-24
176,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,800,600,02-Sep-22
177,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1200,1000,10-Jan-24
178,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1000,900,14-Jul-23
179,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,08-May-24
180,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,12-Jul-23
181,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,15-Feb-24
182,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,01-Jan-24
183,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,05-Sep-23
184,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,08-Sep-23
185,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1400,29-Feb-24
186,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2600,06-Dec-23
187,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3500,3000,07-Nov-23
188,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,3000,4000,3500,26-Oct-23
189,Bangalore,Bangalore,Onion,Local,FAQ,400,700,600,29-Mar-23
190,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,08-May-23
191,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,19-May-22
192,Bangalore,Bangalore,Onion,Local,FAQ,600,900,850,11-Apr-22
193,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,15-Feb-23
194,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,28-Mar-22
195,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,900,29-Jan-24
196,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,03-Mar-23
197,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,09-May-22
198,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,31-May-22
199,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,06-Sep-22
200,Bangalore,Bangalore,Onion,Local,FAQ,1000,1100,1000,30-Jan-23
201,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,04-Jan-23
202,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,05-Jan-23
203,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,08-Feb-23
204,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1100,22-Mar-22
205,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1100,23-Jun-23
206,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1200,24-Jun-22
207,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,21-Mar-24
208,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,04-Mar-22
209,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,14-Mar-22
210,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,08-Dec-22
211,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,13-Dec-22
212,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,20-Jul-22
213,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,28-Oct-22
214,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1300,04-Mar-24
215,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1400,23-May-24
216,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,28-Jan-22
217,Bangalore,Bangalore,Onion,Local,FAQ,1200,2000,1700,09-Nov-22
218,Bangalore,Bangalore,Onion,Local,FAQ,1400,1600,1500,15-Feb-24
219,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1750,15-Feb-22
220,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1750,17-Feb-22
221,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,08-Jan-24
222,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,16-Sep-23
223,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,28-Dec-23
224,Bangalore,Bangalore,Onion,Local,FAQ,1500,2500,2000,06-Jan-22
225,Bangalore,Bangalore,Onion,Local,FAQ,1500,2500,2200,02-Nov-22
226,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,28-Aug-23
227,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,29-Aug-23
228,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2100,03-Jan-22
229,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2100,05-Jan-22
230,Bangalore,Bangalore,Onion,Local,FAQ,1800,2500,2150,22-Feb-22
231,Bangalore,Bangalore,Onion,Local,FAQ,2000,2600,2300,17-Jan-22
232,Bangalore,Bangalore,Onion,Local,FAQ,2800,3200,3000,19-Oct-23
233,Bangalore,Bangalore,Onion,Local,FAQ,3000,4000,3600,07-Dec-23
234,Bangalore,Bangalore,Onion,Local,FAQ,3500,4200,3800,18-Nov-23
235,Bangalore,Bangalore,Onion,Onion,FAQ,800,1100,900,04-May-23
236,Bangalore,Bangalore,Onion,Onion,FAQ,900,1100,1000,25-May-22
237,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1200,1100,15-Sep-22
238,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,06-Jun-23
239,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,19-Aug-22
240,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,24-Aug-22
241,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,25-Jul-22
242,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,26-Sep-22
243,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1300,30-Mar-22
244,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,26-Apr-23
245,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1200,03-Feb-23
246,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,05-Sep-22
247,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,08-Sep-22
248,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,14-Jul-23
249,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,02-Jun-23
250,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,29-Sep-22
251,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,23-Jun-22
252,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,01-Aug-23
253,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1600,03-Aug-23
254,Bangalore,Bangalore,Onion,Onion,FAQ,1400,2000,1700,20-Mar-24
255,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,18-Jul-22
256,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,27-Jun-22
257,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2000,1800,22-May-24
258,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1700,08-Dec-22
259,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,25-Oct-22
260,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1700,18-Jul-23
261,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2200,1800,14-Feb-24
262,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2200,1800,15-Feb-24
263,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,03-May-24
264,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,25-Apr-24
265,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2100,1900,07-Aug-23
266,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2300,2000,13-May-24
267,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2600,2000,17-Nov-22
268,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2600,2200,19-Feb-24
269,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2600,2200,26-Dec-22
270,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2500,2300,09-Nov-22
271,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2200,03-Jun-24
272,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2400,22-Aug-23
273,Bangalore,Bangalore,Onion,Onion,FAQ,2400,2800,2500,09-Oct-23
274,Bangalore,Bangalore,Onion,Onion,FAQ,4500,5200,4800,18-Nov-23
275,Bangalore,Bangalore,Onion,Onion,FAQ,4500,5500,4800,15-Nov-23
276,Bangalore,Bangalore,Onion,Puna,FAQ,500,1300,1000,27-Feb-23
277,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,20-Feb-23
278,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1100,13-Apr-22
279,Bangalore,Bangalore,Onion,Puna,FAQ,800,1400,1200,20-May-22
280,Bangalore,Bangalore,Onion,Puna,FAQ,900,1300,1100,11-May-23
281,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,10-Apr-23
282,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,12-Apr-23
283,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1400,1300,25-May-22
284,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1300,16-Aug-22
285,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1400,31-May-23
286,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,04-Mar-22
287,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,14-Mar-22
288,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,15-Sep-22
289,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,26-Aug-22
290,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,07-Jun-23
291,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1900,1400,10-Jun-22
292,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1600,03-Aug-23
293,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1800,18-Jun-22
294,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,22-Apr-24
295,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1600,14-Sep-22
296,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,2100,03-Oct-22
297,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2500,1750,25-Jan-22
298,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,18-Nov-22
299,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,28-Nov-22
300,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2800,2200,21-Oct-22
301,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2800,2200,27-Oct-22
302,Bangalore,Bangalore,Onion,Puna,FAQ,1000,3000,2500,13-Dec-23
303,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,08-Jul-22
304,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,09-Jan-24
305,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,15-Jul-22
306,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,28-Jul-22
307,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2300,2000,28-Dec-23
308,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2600,2050,03-Feb-22
309,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2500,17-Oct-23
310,Bangalore,Bangalore,Onion,Puna,FAQ,1600,2000,1800,18-Jan-23
311,Bangalore,Bangalore,Onion,Puna,FAQ,1700,1900,1800,25-Jan-23
312,Bangalore,Bangalore,Onion,Puna,FAQ,1800,2600,2200,13-Jan-23
